date,max_temp,min_temp
2026-06-06,33.8,26.6
2026-06-07,34.1,26.6
2026-06-08,33.0,24.9
2026-06-09,33.8,25.6
2026-06-10,31.0,26.2
2026-06-11,34.0,26.2
2026-06-12,34.0,26.4
2026-06-13,32.2,26.4
